char_len,word_count,type_count,ttr,content_ratio,avg_word_len,clause_count,question_type,has_comparative,has_negation,has_temporal,has_numeric,has_aggregation,has_question_mark,flesch_reading_ease,gunning_fog,flesch_kincaid_grade,smog_index,dep_tree_depth,has_passive,ne_count,ne_density,pos_NOUN,pos_VERB,pos_ADJ,pos_ADV,pos_PROPN,pos_NUM,pos_ADP,pos_DET,pos_PRON,pos_CCONJ,pos_SCONJ,pos_PUNCT,pct_VBZ_VBP,pct_VBD,pct_VBN,ne_ORG,ne_PERSON,ne_GPE,ne_DATE,ne_MONEY,ne_PERCENT,ne_LAW,ne_NORP,ne_PRODUCT,ne_EVENT,ne_TIME,ne_CARDINAL,nlq,Domain
1445,267,147,0.5506,0.5768,4.142,9,Other,1,1,0,1,0,0,,,,,13,1,20,0.0692,19.38,14.53,5.19,4.15,2.77,5.19,10.38,7.96,10.03,3.11,2.77,1.04,2.42,7.96,5.19,0,1,1,6,0,0,0,0,0,0,1,11,"Just want to share my experience to watn people

I have been an EE customer for around 6 years with mobiles for the family and broadband with no issues

Recently had an email about broadband upgrades and realised my 76meg broadband could be upgraded to 900meg for a few quid more

Worked out from the 35 quid I was paying it would only be 37 quid so thought why not

Typically sent me a raft of emails about installation and welcome to EE broadband so just assumed was standard stuff

A few weeks later was charged 60.99 whilst I was out of the UK

Came back and attempted live chat to resolve

A raft of different advisors,  1 told me I was on top package of 1.3gbps broadband so sent to tech support to be told I was on 700 max

Next guy told me I had xboz live add on which bumped the price

Called customer service to be told that was wrong

Asked to speak to a manager who said because we bought online , once we clicked the 900 deal at 37 a month that prices can change as they are live prices and in that few seconds the price must have jumped from 37 to 61 quid

Absolute nonsense and they know it , the price on their site is 37 quid for the package I'm on and their advisor said that price had not moved for the last 3 months

Got told cos I didn't check all the welcome emails there's nothing they will do and im stuck paying 61 quid for 700mbps broadband for next 2 years

Gonna be taking legal action and cancelling all my contracts",TelcoQA
115,26,24,0.9231,0.5769,3.346,1,Other,0,0,0,0,0,1,,,,,6,0,0,0.0,12.9,12.9,3.23,0.0,0.0,0.0,3.23,3.23,19.35,3.23,9.68,9.68,9.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,"I cant seem to find my bills for broadband and mobile, so I don't have a clue when they are due. How do I fix this?",TelcoQA
1799,332,159,0.4789,0.6024,4.247,13,How,0,1,0,1,1,0,,,,,12,1,6,0.0155,18.6,13.18,2.84,3.36,1.55,1.29,8.27,7.49,13.7,3.88,1.55,9.04,4.39,4.13,4.91,1,0,0,3,0,0,0,0,0,0,0,1,"How do I view the status of complaints I've raised, and complaints that have been raised on my behalf by EE people?  I've looked everywhere I can think of on the website and app but I can't find anything.

As background.  I have a complaint that's not been resolved regarding (lack of) automatic compensation for a seven (7) day broadband and home phone outage in May this year.  I was told that compensation would be paid automatically but haven't received anything so called EE on Fri 05 Sep to ask why.  The person I spoke to said they were raising a complaint to have this looked into by a back office team but they didn't give me a complaint reference number.

I waited for six days without hearing anything, tried to find details of the complaint on the website and app, and then found an e-mail in my Spam folder dated 05 Sep (the same day I called EE) that said the complaint had been closed.  It was only in this closure e-mail that I was given the complaint reference number.

As a customer,I think I should be able to view the status of my complaints as an absolute minimum, but I would also like to see the text and comments.  Assuming it's not currently available somewhere I missed, it's wrong that I can't see what text an EE contact has put in my complaint, and why the complaint was closed with no action being taken.  I also think I should be able to see details of closed complaints.  Please, please don't reply with ""Just call us and we'll tell you"" - it's something that should be available via my account, for me to access at a time of my choice.

I've raised another complaint, via the webpage form, to ask  for my refund.  As far as I know this complaint is still open and being investigated - I'd confirm that but I can't find details of the complaint on the website or app!",TelcoQA
393,70,45,0.6429,0.5714,4.571,2,Other,0,1,0,0,0,1,,,,,6,1,2,0.0263,22.37,14.47,2.63,3.95,5.26,0.0,7.89,7.89,9.21,3.95,2.63,7.89,3.95,2.63,3.95,1,0,1,0,0,0,0,0,0,0,0,0,Openreach converted me to fibre running the fibre cable and connections. I have noticed that the faceplate on the internal box with the flashing green lights swivels and appears not to be fixed tight on the backing plate. My sister-in-law also had Openreach install to install her fibre connection and her faceplate also swivels on the backing plate. Can I concur that it is meant to be loose?,TelcoQA
139,29,21,0.7241,0.5862,3.759,0,Other,0,0,0,0,0,1,,,,,4,0,3,0.0968,3.23,19.35,3.23,0.0,19.35,0.0,9.68,0.0,16.13,3.23,0.0,6.45,3.23,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,Highland Broadband say they will be connecting our area to Full Fibre. Would I have to go with them to have Full Fibre or can I go with EE?,TelcoQA
182,41,28,0.6829,0.6585,3.244,0,Other,0,0,0,1,0,0,,,,,6,0,1,0.0217,15.22,17.39,2.17,4.35,8.7,2.17,8.7,4.35,13.04,2.17,0.0,4.35,6.52,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,"Hi, I’m wanting to switch to ee 1.6gb I’m out of contact however I would like to keep the tv package I have , will I be able to just switch my broadband and keep the ee tv with bt 🤷‍",TelcoQA
264,52,39,0.75,0.5385,4.0,0,Other,0,1,0,0,0,0,,,,,4,1,0,0.0,14.04,15.79,3.51,3.51,1.75,0.0,7.02,5.26,15.79,8.77,1.75,8.77,5.26,3.51,5.26,0,0,0,0,0,0,0,0,0,0,0,0,"Hiya, we recently had full fibre fitted and was given an “extender box for upstairs. We can’t work out how to use it and can’t see any instructions with it. We have plugged it in but it is doing nothing and we have no internet upstairs and suggestions? Many thanks",TelcoQA
1150,212,121,0.5708,0.5849,4.255,10,Other,0,1,1,1,0,0,,,,,9,1,9,0.0366,13.82,13.41,2.85,5.28,4.88,0.41,10.57,8.54,11.38,2.03,2.85,10.57,8.94,1.22,4.07,6,0,0,0,0,0,0,0,0,0,0,3,"Hi all,

I've recently been set up with Full Fibre FTTP Broadband through EE. I work from home and however have since noticed that I can no longer connect to my work computer remotely (via VPN) as I have been able to do previously. I've looked through this forum thoroughly and have find multiple people with the same issue that is (regardless of EE's denial) an issue with the SmartHub routers they provide.

I therefore wish to replace the router with one of my own but have a couple of questions.

1) Does anyone have a reasonably priced suggestion for an alternative that would work with the FTTP set up I have (I assume any router will do with this setup as I don't believe there is a requirement for VLAN)

2) I have a mesh network of BT WholeHome wifi disks that handle the wi-fi network so it's not actually a requirement to have wifi built in

3) Once I have a new router, where do I source the information required to set this up. I believe there always used to be a username (email?!?) and password that was required to set up any new router (or is this passed down through the line?)

Thanks in advance for any assistance you can provide.",TelcoQA
914,170,105,0.6176,0.6118,4.259,10,Other,0,1,1,1,0,0,,,,,13,1,9,0.0484,12.37,16.13,3.76,7.53,5.91,1.61,6.45,9.14,14.52,4.84,3.23,6.99,2.69,9.68,3.76,1,1,0,3,1,0,0,0,0,0,2,0,"I’ve ordered Full Fibre twice now and it’s cancelled without explanation. The first time the engineer appointment said missed then shortly after the order was cancelled because I apparently “requested it” when clicking the order. Yesterday afternoon I spoke to someone who re did what I wanted which was Full Fibre 900 with Smart Hub Pro as an extra for £10 a month. It did the same initially but a guide said Openreach thought the address may have been a business and cancelled the appointment. He rebooked it and then it was confirmed in the order. Three hours later it happened again, cancelled with no notice or reason. I rang back in and the guide said they’ll get back to me Monday and apparently it’s BT Wholesale denying it with no reason or note. I’m exhausted and worried, anyone who is a guide here please help if possible. Feel free to contact me if you can help me sooner than Monday as I’m at a loss.",TelcoQA
430,75,62,0.8267,0.68,4.44,7,Other,0,1,1,1,0,0,,,,,10,0,5,0.0581,15.12,15.12,9.3,8.14,2.33,4.65,5.81,1.16,11.63,3.49,5.81,9.3,6.98,0.0,3.49,0,0,0,1,0,0,0,0,0,0,1,2,"Hello. I would like to inform you that I have exact same issue as you describing. Linked BT broadband week ago to EE and since that everything have delay on beginning of loading.. the  suddenly all good.. one game that I play regularly when opening inventory item not loading straight away.. youtube black screen for 5 second or 10 then play normal..

speed is normal as advertised. But it feels delayed.. I am on full fibre 500mb",TelcoQA
596,119,82,0.6891,0.6723,3.933,2,Other,1,1,1,0,0,0,,,,,6,1,4,0.0294,14.71,16.18,5.15,3.68,5.15,0.74,5.88,8.82,11.76,3.68,2.21,9.56,5.88,2.94,3.68,2,0,0,1,0,0,0,0,0,0,0,1,"I just got this email from EE

Hi,We've been in touch a few times to ask you to send back your kit.We haven't received it and it's past the return-by date, so we're sending you an updated final bill and adding a £ non-return charge.If you return the kit, we'll automatically refund the charge. It takes up to three weeks to process a return, and we'll apply the refund when we do.Please go toee.co.uk/go/equipmentreturnsto find out more.Thanks,The EE Team

We just got EE TV and went full fibre and we have never been asked to return any equipment. I am getting a bit fed up of EE's incompetence.",TelcoQA
734,121,80,0.6612,0.6529,4.702,2,Other,0,1,0,1,1,0,,,,,11,0,6,0.039,18.83,7.79,6.49,2.6,4.55,2.6,10.39,3.9,10.39,4.55,1.3,14.94,3.9,1.3,2.6,2,0,1,1,0,0,0,0,0,0,2,0,"EE Anytime/Unlimited Calls (landline, not mobile phone)

I've been looking through emails sent to me by EE, looking at EE's price lists, EE help, and information online, including on this Community.

I understand that there appear to be fair use limits for the likes of 0845 and 0870 numbers (I can't see these being a problem for me), but are there any limits for landline and mobile calls?

I came across something about a total limit wrt mobile calls, but I cannot see anything about 60 minute duration limits (with anything in excess being chargeable).

I've recently been with NOW Broadband, and I think there was a 60 minute limit applicable.

And, of course, premium numbers will be chargeable, as expected.

Thanks in advance.",TelcoQA
1536,293,143,0.4881,0.6041,4.0,15,Other,0,1,1,1,0,0,,,,,8,1,11,0.0323,14.96,14.66,3.52,4.99,3.81,0.59,8.8,5.28,13.2,3.81,2.64,11.14,7.04,2.93,2.93,3,0,3,4,0,0,0,0,0,0,0,1,"Back in July we received an email from BT, who we previously had our broadband and landline with, advising us we could have our service upgraded to a full fibre package for free. We got this booked in and had the fibre install completed mid July.  Our new BT Smart hub was setup and is working fine. Landline too, all working fine.

We received a free tablet in the post as a 'freebie' with the order, which we've kept and are paying monthly for.

I am getting emails and texts from EE saying that our bills are ready to view, but up till now have not needed to and have not needed to check the account. We set an EE account up as soon as our connection was switched from BT to EE as part of the Fibre upgrade.

When I login to my account to go to 'manage broadband' all I get is a screen showing 'order pending'. How can the order still be pending after 3 months+. Because of this I'm unable to see my bills, (but I am paying them, my bank confirms this), or unable to make any changes to our broadband package. There are things on the account we want to change, such as not needed EE TV which we were signed up to but don't use, and cant access our landline settings to turn 1571 off.

When I login to my still active BT account (our emails accounts are still with BT), I don't see any accounts for broadband or landline, presumably as EE have taken this over.

EE customer service have been useless. There seems to not be any way to email them, only phone.

What can I do or is there any reason why my account still shows as pending.",TelcoQA
367,62,58,0.9355,0.7581,4.581,1,Other,0,1,0,1,0,0,,,,,6,1,1,0.0135,22.97,16.22,4.05,5.41,1.35,1.35,4.05,6.76,9.46,4.05,1.35,10.81,8.11,0.0,4.05,0,0,0,0,0,0,0,0,0,0,0,1,"Seriously cannot contact a single human about the fact you’ve sent the wrong hub.  Your bots keep running diagnostics and telling me it’s not connected.  Like duh…….

tour 150 , app and website yield no results either.

someone needs to contact me soon or I’m switching network as this non - level of customer service is completely ridiculous

[mod edit: added title]",TelcoQA
1815,293,167,0.57,0.6587,4.765,9,Other,0,1,1,1,0,0,,,,,8,1,20,0.0552,16.57,11.33,7.46,3.59,5.8,2.49,8.56,7.73,7.46,3.59,0.83,15.75,4.14,4.14,2.76,0,3,0,8,0,0,0,0,0,0,5,2,"I am writing to raise a formal complaint regarding my broadband service, which has been unreliable and has left my family and me without internet on multiple occasions.

On 24th September 2025, my broadband stopped working. After performing all basic checks, I called the EE fault department at 4:09 pm. The representative attempted to resolve the issue remotely but was unsuccessful, and an engineer was booked for 25th September between 8–10 am.

On 25th September at 8:30 am, the engineer (Felice ***********) attended but was unable to resolve the fault and escalated it to another department. When I followed up at 8:47 am, your advisor could not see the engineer’s notes and instead ordered me a replacement Wi-Fi hub. Later that day, at 12:35 pm, another advisor told me the hub was not faulty, but instead booked a further engineer appointment for 26th September between 1–6 pm.

As of now, the issue remains unresolved, leaving me and my family without internet for several days.

This is not the first time I have experienced such problems. From 21st July to 28th July 2025, I had no broadband for an entire week. At that time, I was told compensation would be applied automatically to my bill, but I was still charged the full amount.

Even when the service is active, the Wi-Fi frequently drops out. This is extremely disruptive, particularly as I work from home and rely on a stable internet connection. Instead of focusing on resolving these recurring issues, customer service staff often attempt to sell me additional services, which I find inappropriate.

I am paying for Essentials: Full Fibre 500 (500 Mbps download, 73 Mbps upload), yet the service I receive does not reflect the standard advertised or contracted.

[Mod edit: Please do not post personal information on the public board. Thanks!]",TelcoQA
115,22,20,0.9091,0.4545,4.227,2,Other,0,0,0,0,0,1,,,,,5,0,2,0.0833,12.5,12.5,8.33,4.17,8.33,0.0,8.33,4.17,8.33,4.17,4.17,8.33,16.67,0.0,12.5,0,1,1,0,0,0,0,0,0,0,0,0,"We have just transferred from BT to EE and have noticed that the WiFi network name has stayed same,is that correct?",TelcoQA
181,37,28,0.7568,0.7297,3.676,0,Other,0,1,0,1,0,0,,,,,4,0,4,0.0952,9.52,16.67,7.14,0.0,7.14,2.38,2.38,0.0,19.05,2.38,2.38,9.52,7.14,0.0,0.0,0,2,0,0,0,0,0,0,1,0,0,1,"hello! I am trying to connect my Octopus home mini device to me smart WiFi but it won’t connect. It needs to have 2.4ghz not 5ghz, how do i check/change my smart WiFi hub?

thankyou",TelcoQA
1147,208,123,0.5913,0.5721,4.298,7,Other,1,1,1,1,1,1,,,,,9,0,10,0.0418,14.64,13.39,6.28,6.69,2.93,2.09,8.79,9.62,10.46,2.51,1.67,12.13,5.86,0.84,4.6,1,3,0,3,0,0,0,0,1,0,0,2,"Been on the Busiest Home bundle for nearly a year, with the WiFi 7 router. All has been working well up until the last few months.

I have a lot of smart devices, these all connect to the 2.4ghz network, recently (in the last two months) devices randomly disconnect, there seems no pattern to it, and to make it worse the router will show the device as connected, the status light on the device can show its connected, but apps will say disconnected. This is across a whole host of different devices, Redsea, Neptune, Meross, Octopus etc. So I know its an issue with a particular brand.

I’ve recently changed the 2.4ghz channel from smart to a fixed channel, this seems to help, but then the router will randomly drop everything and I have to mess about changing channels to then go back to original channel to get everything reconnected.

I’ve had a new router delivered, that was great for around 18hrs, but its now doing exactly the same thing.

In total I have around 75 devices connected, which is below the max number the router support from what I can tell. Wondering if anyone else is having similar? And if so, if anyone has found a fix?",TelcoQA
787,148,92,0.6216,0.5338,4.128,8,Other,0,1,0,1,0,0,,,,,8,1,4,0.0237,15.98,14.2,2.37,4.73,1.78,0.59,8.88,12.43,10.06,1.78,4.14,10.06,8.28,0.0,4.14,0,3,0,0,0,0,0,0,0,0,0,1,"Hi,

We have had some building / flooring / decorating work done in the house and someone has managed to pull the Openreach modem box out of the wall, and the fibre is looking somewhat delicate, although everything's still working OK - as shown in the photo, we have temporarily taped the box to the skirting to prevent its weight being taken by the fibre:

I guess that this is not a long-term solution. I assume that the green connector simply pulls straight out of the box? If I can do this without breaking the fibre then fit the box to the wall/skirting in a position where the fibre can be safely reinserted, will this be sufficient? - or is the fibre in such a state that I need to get Openreach to replace it? If so, I guess I do this via EE on 150?

Thanks for any advice.

Andy",TelcoQA
